,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,word_count,complex_word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
69,5588,AMERICAN PAD & PAPER CO,199711,14/11/1997,10-Q,edgar/data/5588/0000950134-97-008577.txt,21,28,-0.14285713994169102,13,0.4066616952522993,5.36266467810092,4023,1636,60,20,0.005219985085756898,0.00695998011434253,0.014914243102162566,0.004971414367387522,20
70,5588,AMERICAN PAD & PAPER CO,199803,27/3/1998,10-K,edgar/data/5588/0000950134-98-002477.txt,195,302,-0.2152917500698355,13,0.40298089052936503,5.361192356211746,21403,8625,256,141,0.009110872307620426,0.014110171471289071,0.011960940055132457,0.006587861514740924,141
71,5588,AMERICAN PAD & PAPER CO,199805,14/5/1998,10-Q,edgar/data/5588/0000950134-98-004241.txt,24,31,-0.12727272495867772,13,0.3786216596343179,5.351448663853727,3555,1346,50,19,0.006751054852320675,0.008720112517580873,0.014064697609001406,0.005344585091420534,19
72,5588,AMERICAN PAD & PAPER CO,199808,14/8/1998,10-Q,edgar/data/5588/0000950134-98-006988.txt,75,183,-0.4186046495402921,13,0.3762751077926175,5.350510043117048,9509,3578,87,78,0.007887264696603218,0.019244925859711853,0.009149227048059733,0.008202755284467346,78
73,5588,AMERICAN PAD & PAPER CO,199811,13/11/1998,10-Q,edgar/data/5588/0000005588-98-000008.txt,75,192,-0.4382022455498043,10,0.4072341396622547,4.1628936558649015,8764,3569,114,86,0.00855773619351894,0.02190780465540849,0.01300775901414879,0.009812870835235053,86
74,5588,AMERICAN PAD & PAPER CO,199811,16/11/1998,10-Q/A,edgar/data/5588/0000005588-98-000010.txt,2,2,0.0,61,0.2997658079625293,24.519906323185012,427,128,2,5,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.0117096018735363,5
75,5907,AT&T CORP,199908,13/8/1999,10-Q,edgar/data/5907/0000005907-99-000027.txt,239,441,-0.29705882309256054,16,0.35856670725343537,6.543426682901374,28745,10307,314,185,0.008314489476430684,0.015341798573664986,0.010923638893720647,0.00643590189598191,185
76,5907,AT&T CORP,199911,15/11/1999,10-Q,edgar/data/5907/0000005907-99-000037.txt,259,438,-0.2568149207219298,16,0.3686917169500823,6.547476686780033,29168,10754,324,181,0.008879594075699396,0.015016456390565003,0.011108063631376851,0.006205430608886451,181
77,5907,AT&T CORP,200003,27/3/2000,10-K,edgar/data/5907/0000005907-00-000014.txt,588,678,-0.07109004733721165,15,0.4018417672281222,6.1607367068912495,55273,22211,682,505,0.010638105404085177,0.01226638684348597,0.012338754907459339,0.00913646807663778,505
78,5907,AT&T CORP,200005,15/5/2000,10-Q,edgar/data/5907/0000005907-00-000025.txt,112,169,-0.20284697436709262,16,0.3828261775739892,6.553130471029596,11995,4592,136,63,0.009337223843268029,0.014089203834931221,0.01133805752396832,0.005252188411838266,63
79,5907,AT&T CORP,200008,14/8/2000,10-Q,edgar/data/5907/0000005907-00-000031.txt,190,240,-0.11627906949702542,14,0.3883994853013956,5.755359794120558,20206,7848,218,96,0.009403147579926755,0.01187766010096011,0.010788874591705433,0.004751064040384044,96
80,5907,AT&T CORP,200011,14/11/2000,10-Q,edgar/data/5907/0000005907-00-000038.txt,207,317,-0.20992366372151972,15,0.4049899085326577,6.161995963413063,23287,9431,282,112,0.008889079744063211,0.013612745308541245,0.01210976081075278,0.00480955039292309,112
81,5907,AT&T CORP,200101,26/1/2001,10-K/A,edgar/data/5907/0000005907-01-000002.txt,254,423,-0.2496307234126577,11,0.41611043689320387,4.566444174757282,19776,8229,261,113,0.012843851132686084,0.021389563106796117,0.013197815533980582,0.005713996763754045,113
82,5907,AT&T CORP,200104,2/4/2001,10-K405,edgar/data/5907/0000005907-01-000012.txt,1231,2226,-0.2878218107353712,16,0.39816000456736456,6.559264001826946,122609,48818,1805,1043,0.010040045999885816,0.018155274082652988,0.014721594662708283,0.008506716472689607,1043
83,5907,AT&T CORP,200104,17/4/2001,10-K405/A,edgar/data/5907/0000005907-01-000015.txt,1231,2237,-0.29008073809397905,16,0.3979443782473717,6.559177751298948,123369,49094,1824,1045,0.009978195494816364,0.018132594087655732,0.014784913552026846,0.008470523389182047,1045
